"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CAST",0.000125446471130018,0.28580842240293,0.615,0.425,1,"NK","CAST"
"CCDC91",0.000130734852106015,0.343941468184666,0.338,0.179,1,"NK","CCDC91"
"RASSF1",0.000136995821754337,0.2858036850817,0.262,0.12,1,"NK","RASSF1"
"FAM46A",0.000141325169561227,0.306645510640288,0.262,0.117,1,"NK","FAM46A"
"RGS3",0.000147463373564201,0.283640873224777,0.262,0.12,1,"NK","RGS3"
"C19orf10",0.000150343693197119,0.413904484814848,0.508,0.373,1,"NK","C19orf10"
"EIF5B",0.00015986748432183,0.292261536839117,0.569,0.394,1,"NK","EIF5B"
"STK17A",0.000159996037274908,0.264599281999118,0.662,0.413,1,"NK","STK17A"
"MAPRE2",0.000160049928321681,0.341686889990476,0.323,0.175,1,"NK","MAPRE2"
"SRSF51",0.000161906652612169,0.270940159672404,0.769,0.576,1,"NK","SRSF5"
"NKTR",0.000165025692260671,0.320333495416748,0.538,0.368,1,"NK","NKTR"
"AAK1",0.000167041965144467,0.300021450381536,0.677,0.478,1,"NK","AAK1"
"PSMA5",0.000168991621846839,0.256551989517834,0.769,0.537,1,"NK","PSMA5"
"PNRC1",0.000172053475206159,0.32102174224593,0.738,0.579,1,"NK","PNRC1"
"ADA1",0.000173897250703821,0.301794277843009,0.523,0.328,1,"NK","ADA"
"SELL1",0.000179372301611992,0.357770507531265,0.769,0.64,1,"NK","SELL"
"DRAP1",0.000184760201166518,0.255144715978973,0.846,0.654,1,"NK","DRAP1"
"DUSP2",0.000187226206886343,0.329010107998111,0.323,0.164,1,"NK","DUSP2"
"HDDC2",0.000188358955217061,0.395979666785121,0.431,0.277,1,"NK","HDDC2"
"ARHGAP9",0.000194598751968939,0.282325561781854,0.477,0.294,1,"NK","ARHGAP9"
"SYTL1",0.000203841418803798,0.34064788445466,0.431,0.261,1,"NK","SYTL1"
